method,variable,variable_type,key_covariate,treated_mean_before,control_mean_before,smd_before,variance_ratio_before,ks_before,treated_mean_after,control_mean_after,smd_after,variance_ratio_after,ks_after
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m3,prehistory,True,0.19646367450915378,0.10960155313115086,0.306995519851313,2.5381228217299947,0.1230051262211046,0.14048141934027655,0.1404814193397527,2.013468706295574e-12,1.302675246751715,0.08148243825177381
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m2,prehistory,True,0.20603001387056727,0.11512778861386372,0.3059475569126993,2.3837116221556185,0.15338247689055312,0.14818581185711924,0.1481858118565116,2.1698815920007472e-12,1.0904451170019114,0.06052377023214428
calibrated_overlap_ridge_2,history_npxg_xa_per_club_match_m1,prehistory,True,0.1816952329552555,0.11692918751386577,0.22705944562055078,1.8100832835284073,0.09775054232932168,0.13306090880828317,0.13306090880742505,3.2623812475088753e-12,1.125329290871737,0.06175789162284562
calibrated_overlap_ridge_2,stratum_Bundesliga|Attack,stratum_indicator,False,0.04664723032069971,0.04383886255924171,0.01351268198060612,1.0609358617842428,0.002808367761457986,0.03960753251065607,0.0396075325212398,-5.426573658465293e-11,0.9999999997438048,1.0584422227566392e-11
calibrated_overlap_ridge_2,stratum_Bundesliga|Defender,stratum_indicator,False,0.0728862973760933,0.08412322274881516,-0.04178762882798884,0.8770532034941426,0.011236925372721807,0.06278308110318996,0.06278308110174906,5.940094562638941e-12,1.0000000000214129,1.4400702852412905e-12
calibrated_overlap_ridge_2,stratum_Bundesliga|Midfield,stratum_indicator,False,0.06997084548104957,0.058056872037914695,0.048687061082650154,1.1899682370681772,0.01191397344313494,0.06860496180772958,0.06860496180864119,-3.6062975638276417e-12,0.9999999999876912,9.11382080914791e-13
calibrated_overlap_ridge_2,stratum_LaLiga|Attack,stratum_indicator,False,0.07580174927113703,0.08056872037914692,-0.017757238762767105,0.9457114112256323,0.004766971108009943,0.05865936992678537,0.05865936992574959,4.4078173544427024e-12,1.0000000000165576,1.035171948160496e-12
calibrated_overlap_ridge_2,stratum_LaLiga|Defender,stratum_indicator,False,0.0641399416909621,0.12203791469194313,-0.20026189139075737,0.560233318313685,0.057897973000980985,0.08619650823798142,0.08619650823597742,7.140443967135602e-12,1.0000000000210565,2.0032864256336325e-12
calibrated_overlap_ridge_2,stratum_LaLiga|Midfield,stratum_indicator,False,0.0641399416909621,0.0924170616113744,-0.10541842375005554,0.7156505247649356,0.028277119920412264,0.0754585972891779,0.07545859728767623,5.685361094386912e-12,1.0000000000182765,1.500466417780899e-12
calibrated_overlap_ridge_2,stratum_Ligue 1|Attack,stratum_indicator,False,0.03498542274052478,0.054502369668246446,-0.09450818205484893,0.655156674713821,0.019516946927721657,0.03983158121305932,0.03983158121213916,4.705174828409026e-12,1.0000000000221427,9.202638651117923e-13
calibrated_overlap_ridge_2,stratum_Ligue 1|Defender,stratum_indicator,False,0.05539358600583091,0.09123222748815166,-0.1378235771526976,0.6311159777545208,0.03583864148232074,0.0773058946696193,0.07730589466795758,6.221918502694233e-12,1.0000000000196945,1.660227511024459e-12
calibrated_overlap_ridge_2,stratum_Ligue 1|Midfield,stratum_indicator,False,0.043731778425655975,0.08293838862559241,-0.1614939340934723,0.5498228127519396,0.03920661019993643,0.060777632865713575,0.06077763284891403,7.031394897964635e-11,1.0000000002585232,1.6799339697115556e-11
calibrated_overlap_ridge_2,stratum_Premier League|Attack,stratum_indicator,False,0.0641399416909621,0.03909952606635071,0.11335451543707374,1.5976791672703126,0.025040415624611456,0.057324826608895034,0.05732482660757993,5.657266454778145e-12,1.0000000000215463,1.3156142841808105e-12
calibrated_overlap_ridge_2,stratum_Premier League|Defender,stratum_indicator,False,0.13119533527696792,0.07227488151658767,0.19583963739291851,1.6999409428719363,0.05892045376038024,0.12310253577978737,0.12310253577697101,8.57195716671387e-12,1.0000000000196667,2.816413768869097e-12
calibrated_overlap_ridge_2,stratum_Premier League|Midfield,stratum_indicator,False,0.119533527696793,0.054502369668246446,0.23227107917112036,2.0423338233400123,0.06503115802854664,0.08889180597598338,0.0888918059989484,-8.069580599844655e-11,0.9999999997668579,2.2964519175161513e-11
calibrated_overlap_ridge_2,stratum_Serie A|Attack,stratum_indicator,False,0.03206997084548105,0.030805687203791468,0.0072453161916925515,1.0396825871970634,0.001264283641689512,0.029409640126968915,0.02940964012628568,4.043962178732215e-12,1.000000000022528,6.823430709346212e-13
calibrated_overlap_ridge_2,stratum_Serie A|Defender,stratum_indicator,False,0.061224489795918366,0.045023696682464455,0.07228154398834753,1.3367591982727587,0.016200793113453904,0.07353327735299431,0.07353327735053856,9.408626048113613e-12,1.0000000000307459,2.4559243527733088e-12
calibrated_overlap_ridge_2,stratum_Serie A|Midfield,stratum_indicator,False,0.0641399416909621,0.0485781990521327,0.06751810884809299,1.2987482171629368,0.015561742638829479,0.05851275453145838,0.05851275452963231,7.780083067201506e-12,1.0000000000292684,1.8256507416936074e-12
