diagnostic_window,outcome,relative_club_match,reference_match,effect,standard_error,ci_lower,ci_upper,pooled_pre_sd,effect_sd,ci_lower_sd,ci_upper_sd,equivalence_margin,equivalence_passed,n_players,n_treated,n_controls,uses_post_treatment_outcomes
holdout_window,played,-9,-8,-0.02402370165786901,0.034453383464624614,-0.09155109239408107,0.043503689078343045,0.40382442606809654,-0.059490461960857006,-0.2267101405565866,0.10772921663487255,0.040382442606809656,False,1187,343,844,0
calibration_window,started,-8,-1,0.02024622007156348,0.04897473386073639,-0.07574249444791409,0.11623493459104106,0.4903195127928164,0.04129189139596507,-0.15447579072774723,0.2370595735196774,0.049031951279281644,False,1187,343,844,0
calibration_window,started,-7,-1,0.022566607769753496,0.05072978464559387,-0.07686194307908349,0.12199515861859049,0.4903195127928164,0.04602429065328464,-0.15675889103675417,0.24880747234332345,0.049031951279281644,False,1187,343,844,0
calibration_window,started,-6,-1,0.02083021614897053,0.0449848300302027,-0.06733843056088261,0.10899886285882367,0.4903195127928164,0.04248294347969851,-0.13733581634826011,0.22230170330765714,0.049031951279281644,False,1187,343,844,0
calibration_window,started,-5,-1,0.002264096506596213,0.0526413655084703,-0.10091108398701458,0.10543927700020701,0.4903195127928164,0.00461759413509799,-0.20580678792943405,0.21504197619963003,0.049031951279281644,False,1187,343,844,0
calibration_window,started,-4,-1,-0.021395498972257822,0.04418597032817096,-0.10799840943742836,0.0652074114929127,0.4903195127928164,-0.043635830135315155,-0.22026129211598988,0.13298963184535953,0.049031951279281644,False,1187,343,844,0
calibration_window,started,-3,-1,0.018511104524339246,0.04162341024404538,-0.06306928046772523,0.1000914895164037,0.4903195127928164,0.037753146757104644,-0.12862894260211716,0.20413523611632642,0.049031951279281644,False,1187,343,844,0
calibration_window,started,-2,-1,-0.00018823542310016095,0.03923928055814885,-0.07709581209633463,0.07671934125013431,0.4903195127928164,-0.00038390359385860194,-0.15723586372731474,0.15646805653959753,0.049031951279281644,False,1187,343,844,0
holdout_window,started,-14,-8,0.007026720547651542,0.052846897865417596,-0.09655129596323359,0.11060473705853666,0.4903195127928164,0.014330901308879115,-0.19691505935239245,0.22557686197015064,0.049031951279281644,False,1187,343,844,0
holdout_window,started,-13,-8,0.0019445065671515362,0.041766007268501174,-0.07991536345714886,0.08380437659145193,0.4903195127928164,0.003965794785681279,-0.1629863005083319,0.17091789007969446,0.049031951279281644,False,1187,343,844,0
holdout_window,started,-12,-8,-0.04102977249761519,0.041391156424037415,-0.12215494836719219,0.04009540337196181,0.4903195127928164,-0.08367966484530312,-0.24913336136962705,0.0817740316790208,0.049031951279281644,False,1187,343,844,0
holdout_window,started,-11,-8,0.0065649934797246704,0.04378337190054977,-0.07924883856707587,0.09237882552652521,0.4903195127928164,0.013389215212609122,-0.16162693202985443,0.18840536245507267,0.049031951279281644,False,1187,343,844,0
holdout_window,started,-10,-8,0.02451252824464143,0.038907576076515654,-0.051744919591081455,0.10076997608036431,0.4903195127928164,0.04999296908462861,-0.10553306209729854,0.20551900026655573,0.049031951279281644,False,1187,343,844,0
holdout_window,started,-9,-8,0.003569324444324484,0.04120593098657436,-0.07719281623880427,0.08433146512745322,0.4903195127928164,0.007279588821570508,-0.15743370236097853,0.17199288000411952,0.049031951279281644,False,1187,343,844,0
calibration_window,npxg_xa_per_club_match,-8,-1,-0.00021167907544195064,0.025081355571799954,-0.049370232679612866,0.048946874528728965,0.27184920497850446,-0.000778663581005096,-0.18160889116271886,0.18005156400070868,0.027184920497850446,False,1130,337,793,0
calibration_window,npxg_xa_per_club_match,-7,-1,-0.00045665816224965683,0.026300002019880406,-0.05200371491454592,0.051090398590046604,0.27184920497850446,-0.0016798215844911722,-0.19129618171463084,0.1879365385456485,0.027184920497850446,False,1130,337,793,0
calibration_window,npxg_xa_per_club_match,-6,-1,-0.0006811776247025256,0.023057916736445066,-0.04587386398665819,0.04451150873725314,0.27184920497850446,-0.0025057186566221057,-0.16874746420643572,0.16373602689319153,0.027184920497850446,False,1130,337,793,0
calibration_window,npxg_xa_per_club_match,-5,-1,-0.00010617509490258321,0.023181337668493094,-0.045540762038610745,0.04532841184880557,0.27184920497850446,-0.000390566140927205,-0.1675221453828115,0.16674101310095707,0.027184920497850446,False,1130,337,793,0
calibration_window,npxg_xa_per_club_match,-4,-1,-0.0006779838376918916,0.027629389263821306,-0.05483059170961928,0.05347462403423549,0.27184920497850446,-0.002493970279388902,-0.20169487607644399,0.19670693551766616,0.027184920497850446,False,1130,337,793,0
calibration_window,npxg_xa_per_club_match,-3,-1,-0.00018807854580343755,0.02401497114102734,-0.047256557071985776,0.0468803999803789,0.27184920497850446,-0.0006918487983744857,-0.17383371445107748,0.1724500168543285,0.027184920497850446,False,1130,337,793,0
calibration_window,npxg_xa_per_club_match,-2,-1,-0.00015208552048290476,0.030203272465379405,-0.05934941176787681,0.059045240726911,0.27184920497850446,-0.0005594480973189912,-0.21831740053302587,0.21719850433838792,0.027184920497850446,False,1130,337,793,0
holdout_window,npxg_xa_per_club_match,-14,-8,-0.009528697174764983,0.029299601501019984,-0.06695486087813984,0.04789746652860988,0.27184920497850446,-0.035051407178175974,-0.2462941206079086,0.17619130625155666,0.027184920497850446,False,1130,337,793,0
holdout_window,npxg_xa_per_club_match,-13,-8,0.053621369126928345,0.03230143964917259,-0.009688289234244044,0.11693102748810073,0.27184920497850446,0.19724673879832855,-0.03563846815373292,0.43013194575039,0.027184920497850446,False,1130,337,793,0
holdout_window,npxg_xa_per_club_match,-12,-8,0.009515678615058656,0.025528829590705356,-0.04051990795018424,0.05955126518030155,0.27184920497850446,0.035003518277020806,-0.14905288376101086,0.21905992031505248,0.027184920497850446,False,1130,337,793,0
holdout_window,npxg_xa_per_club_match,-11,-8,0.010162057746717912,0.030815938329109106,-0.050236071528143335,0.07056018702157915,0.27184920497850446,0.03738123033143114,-0.1847938879648943,0.25955634862775656,0.027184920497850446,False,1130,337,793,0
holdout_window,npxg_xa_per_club_match,-10,-8,0.002121334521501067,0.02618859821690673,-0.04920737478922599,0.05345004383222812,0.27184920497850446,0.007803350102380488,-0.18100981679573752,0.1966165170004985,0.027184920497850446,False,1130,337,793,0
holdout_window,npxg_xa_per_club_match,-9,-8,0.004035717145748172,0.026969760036702685,-0.04882404119787673,0.05689547548937307,0.27184920497850446,0.01484542559566169,-0.17959972037342292,0.20929057156474629,0.027184920497850446,False,1130,337,793,0
