specification,outcome,coefficient,estimate,standard_error_player,ci_lower,ci_upper,p_value,n_observations,n_players,n_club_games,fe_max_error,pre_start,weight_method,omitted_dimension,omitted_value
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08348551877967526,0.027259725192884204,0.030057439173163045,0.1369135983861875,0.0021942625652027203,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1147
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.024927318169041018,0.02543630121783095,-0.02492691611781996,0.074781552455902,0.3270911065176525,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1148
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08357316096807588,0.02751892243986468,0.02963706409258999,0.13750925784356177,0.0023899749805638137,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1148
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.0223204677642332,0.025350879073309632,-0.027366342195883818,0.07200727772435023,0.3786094650394536,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1158
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08287680201556527,0.02747707761288248,0.02902271949390381,0.13673088453722673,0.0025595083244580596,16096,1006,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1158
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02196479917872866,0.02535281023059496,-0.027725795780116084,0.07165539413757341,0.3862897773004672,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,12
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08266206491490231,0.027484902054129363,0.028792646770197813,0.13653148305960683,0.0026336759684424393,16128,1008,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,12
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.02329153609958336,0.025164809538690613,-0.026030584274060253,0.07261365647322697,0.35467479258409984,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,12321
leave_one_baseline_club_id_out,minutes_share,treated_x_consolidated,0.08348551877967532,0.02725981130332133,0.030057270399807635,0.136913767159543,0.0021943334965390804,16032,1002,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,12321
leave_one_baseline_club_id_out,minutes_share,treated_x_acute,0.01855375605128515,0.024708803200748145,-0.029874608323269224,0.06698212042583952,0.4527148930908298,16048,1003,1552,6.106226635438361e-16,-8,analysis_weight,baseline_club_id,1237
