specification,outcome,coefficient,estimate,standard_error_player,ci_lower_player,ci_upper_player,p_value_player,standard_error_double_cluster,ci_lower_double_cluster,ci_upper_double_cluster,p_value_double_cluster,effect_sd,percent_of_treated_baseline,baseline_weighted_sd,treated_baseline_mean,n_observations,n_players,n_club_games,within_r_squared,fe_iterations,fe_max_error,p_value_holm_acute_family
external_player_league_position_week_fe,in_match_squad,control_pre_opponent_ppg,-0.0007806255274923366,0.005608285448979595,-0.011772663022512387,0.010211411967527714,0.8892988443813561,0.005350834211370206,-0.01126806786902272,0.009706816814038047,0.8840093583943809,-0.0028350312333092014,-0.0850955559189268,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0007264468795129542,11,5.283271042877402e-11,
sensitivity_differential_linear_trend,in_match_squad,treated_x_acute,-0.011476427119872512,0.035571705308349785,-0.08119568839291033,0.05824283415316531,0.7469770075646367,0.037677983711988265,-0.08532391820545628,0.06237106396571125,0.7606766164653291,-0.04167943294930839,-1.2510389570089824,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0016677006854980414,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,in_match_squad,treated_x_consolidated,-0.014135902226277718,0.043312104145694065,-0.09902606644648604,0.07075426199393059,0.744142147952285,0.046922000560870175,-0.10610133340815145,0.07782952895559603,0.7632133097099785,-0.0513379628401863,-1.540946863760494,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0016677006854980414,2,2.6645352591003757e-15,
sensitivity_differential_linear_trend,in_match_squad,treated_x_linear_time,0.006011232283738627,0.0035737340634031762,-0.0009931577708555787,0.013015622338332833,0.09255735962005618,0.0039012664192836027,-0.0016351093921527704,0.013657573959630024,0.12335542366548458,0.021831250292084395,0.6552810982056438,0.27534988620959505,0.9173516984083904,16240,1015,1568,0.0016677006854980414,2,2.6645352591003757e-15,
primary_player_club_game_fe,played,treated_x_acute,0.014357564991139183,0.02536762306615899,-0.035362062591919964,0.06407719257419833,0.5714074383736234,0.02739484997455311,-0.03933535432086292,0.06805048430314128,0.6002109150021568,0.04105110969129229,1.6751411039680633,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.001982496727742533,2,4.440892098500626e-16,1.0
primary_player_club_game_fe,played,treated_x_consolidated,0.07687346219285265,0.028015837028920514,0.02196343061942483,0.13178349376628049,0.006070870288902963,0.029836532413485838,0.01839493323885849,0.13535199114684682,0.00998097234264872,0.21979638822988304,8.969062400417869,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.001982496727742533,2,4.440892098500626e-16,
external_player_league_position_week_fe,played,treated_x_acute,-0.008058518071715,0.029206535391101008,-0.06530227555146742,0.04918523940803743,0.7826134352216276,0.02938865275302445,-0.06565921902179682,0.049542182878366814,0.7839270193805021,-0.023040892345978916,-0.9402119974612896,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.0008884186132652738,11,5.283271042877402e-11,
external_player_league_position_week_fe,played,treated_x_consolidated,0.03420990942255532,0.02940794905719344,-0.023428611588732447,0.09184843043384308,0.24471273922338854,0.02949952952113723,-0.023608105999749746,0.09202792484486039,0.24618056530985166,0.09781287739955864,3.991374963102282,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.0008884186132652738,11,5.283271042877402e-11,
external_player_league_position_week_fe,played,control_is_home,0.009205305930728573,0.007109500704593087,-0.0047290593983360125,0.02313967125979316,0.19539290035369605,0.006487487907948098,-0.0035099367189887973,0.021920548580445943,0.15591876372771263,0.026319784987040414,1.074011251119604,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.0008884186132652738,11,5.283271042877402e-11,
external_player_league_position_week_fe,played,control_days_since_club_game,-0.00012024816442500839,0.0005110064741312027,-0.0011218024495889642,0.0008813061207389474,0.8139632270191528,0.0003798389878186759,-0.0008647189004737613,0.0006242225716237444,0.7515648355143261,-0.0003438132156137922,-0.014029721824651781,0.3497485232216437,0.8570958564104885,16240,1015,1568,0.0008884186132652738,11,5.283271042877402e-11,
